origin,seed,direction,openalex_id,doi,title,year,venue,type,cited_by,oa_status,oa_url,abstract
snowball,Towards predicting query execution time for conc,backward,W2035095545,10.1145/183018.183025,Accurate modeling of the hybrid hash join algorithm,1994,,conference-paper,30,closed,,": The join of two relations is an important operation in database systems. It occurs frequently in relational queries, and join performance is a significant factor in overall system performance. Cost models for join algorithms are used by query optimizers to choose efficient query execution strategies. This paper presents an efficient analytical model of an important join method, the hybrid hash join algorithm, that captures several key features of the algorithm's performance -- including its intra--operator parallelism, interference between disk reads and writes, caching of disk pages, and placement of data on disk(s). Validation of the model against a detailed simulation of a database system shows that the response time estimates produced by the model are quite accurate. 1 Introduction Relational database systems organize information into a collection of tables. The relational join operator is used to relate information from two or more tables. Thus, joins are a frequently occurrin..."
snowball,Towards predicting query execution time for conc,backward,W1537563624,,Data base system performance prediction using an analytical model (invited paper),1981,Very Large Data Bases,article,24,closed,,"Much progress has been made recently in developing strategies for data base design at both the logical and physical levels. Various approaches, some built into automated design aids, produce designs that are known to be good (or even optimal in some sense). The measurement criteria by which the designs are judged, however, are difficult to relate to some of the performance measures of importance to computer system managers and data base system users. Such performance measures include device utilizations, transaction throughputs, and the distribution of responsetimes. In this paper, we suggest an overall framework for assessing and predicting the effect on resource consumption, throughputs, and response times of a variety of physical and logical data base design decisions that affect performance. We use ananalytical model based, at the lowest level, on queueing network models. Queueing network models have already proven useful in understanding and predicting performance in many actual computer systems (with and without data base components). At higher levels of the analytical model, we establish a sequence of data base system workload descriptions, each one dependent on more performance related design decisions. By analytical techniques, the workload description at one level and a set of design choices are transformed into the workload description at the next lower (more fully specified) level. By this approach, many data base design alternatives can be represented by changes "
snowball,Towards predicting query execution time for conc,backward,W2022322228,10.1016/j.parco.2003.11.003,Analytical response time estimation in parallel relational database systems,2004,Parallel Computing,article,18,closed,,
snowball,Towards predicting query execution time for conc,backward,W2019999249,10.1016/j.entcs.2009.02.053,Application of Queueing Network Models in the Performance Evaluation of Database Designs,2009,Electronic Notes in Theoretical Computer Science,article,8,diamond,https://www.sciencedirect.com/science/article/pii/S1571066109000589/pdf,"In this paper, we model database designs using queueing networks, giving visibility to the dynamic behaviour of the database design and allowing the database designer to experiment with different design decisions. Our approach is to abstract away the more detailed levels of the database system design by concentrating on the information that is available to the database designer at design time. It differs from other methods of database system performance evaluation in that the performance assessment is specifically targeted at the database design, not at the database system software architecture. We present a bottleneck evaluation of the Transaction Processing Performance Council TPC-C benchmark under different workload conditions and demonstrate how this affects database design decisions."
snowball,Towards predicting query execution time for conc,backward,W2058092827,10.1145/320599.320676,Workload models for DBMS performance evaluation,1985,,conference-paper,7,closed,,"A hierarchy of workload models to support Database Management System Performance Measurement and Evaluation studies is defined herein. The hierarchy is structured so that each successive layer represents database design, DBMS functionality and workload characterization in progressively greater detail. The design of the hierarchy was influenced by the ANSI/X3/SPARC (3) model for DBMS architecture, by Senko's DIAM (20), by Scheuermann's DBMS model (19) and by Sevcik's layered model for database system performance evaluation (21). The hierarchical layers clearly isolate DBMS functionality from organizational activities and underlying machine characteristics."
snowball,Towards predicting query execution time for conc,backward,W1766499933,10.1007/bfb0100632,Some results from a new technique for response time estimation in parallel DBMS,1999,Lecture notes in computer science,conference-paper,5,closed,,
snowball,Towards predicting query execution time for conc,forward,W2966185412,10.14778/3339490.3339503,iBTune,2019,Proceedings of the VLDB Endowment,article,78,closed,,"Tuning the buffer size appropriately is critical to the performance of a cloud database, since memory is usually the resource bottleneck. For large-scale databases supporting heterogeneous applications, configuring the individual buffer sizes for a significant number of database instances presents a scalability challenge. Manual optimization is neither efficient nor effective, and even not feasible for large cloud clusters, especially when the workload may dynamically change on each instance. The difficulty lies in the fact that each database instance requires a different buffer size that is highly individualized, subject to the constraint of the total buffer memory space. It is imperative to resort to algorithms that automatically orchestrate the buffer pool tuning for the entire database instances. To this end, we design iBTune that has been deployed for more than 10, 000 OLTP cloud database instances in our production system. Specifically, it leverages the information from similar workloads to find out the tolerable miss ratio of each instance. Then, it utilizes the relationship between miss ratios and allocated memory sizes to individually optimize the target buffer pool sizes. To provide a guaranteed level of service level agreement (SLA), we design a pairwise deep neural network that uses features from measurements on pairs of instances to predict the upper bounds of the request response times. A target buffer pool size can be adjusted only when the predicted response t"
snowball,Towards predicting query execution time for conc,forward,W2726369860,10.1109/mcc.2017.55,Orchestrating BigData Analysis Workflows,2017,IEEE Cloud Computing,article,40,green,https://figshare.com/articles/journal_contribution/Orchestrating_BigData_analysis_workflows/22954109,"Data analytics has become not only an essential part of day-to-day decision making, but also reinforces long-term strategic decisions. Whether it is real-time fraud detection, resource management, tracking and prevention of disease outbreak, natural disaster management or intelligent traffic management, the extraction and exploitation of insightful information from unparalleled quantities of data (BigData) is now a fundamental part of all decision making processes. Success in making smart decisions by analyzing BigData is possible due to the availability of improved analytical capabilities, increased access to different data sources, and cheaper and improved computing power in the form of cloud computing. However, BigData analysis is far more complicated than the perception created by the recent publicity. For example, one of the myths is that BigData analysis is driven purely by the innovation of new data mining and machine learning algorithms."
snowball,Towards predicting query execution time for conc,forward,W3031623163,10.1109/icde48307.2020.00132,ML-based Cross-Platform Query Optimization,2020,,conference-paper,26,closed,,"Cost-based optimization is widely known to suffer from a major weakness: administrators spend a significant amount of time to tune the associated cost models. This problem only gets exacerbated in cross-platform settings as there are many more parameters that need to be tuned. In the era of machine learning (ML), the first step to remedy this problem is to replace the cost model of the optimizer with an ML model. However, such a solution brings in two major challenges. First, the optimizer has to transform a query plan to a vector million times during plan enumeration incurring a very high overhead. Second, a lot of training data is required to effectively train the ML model. We overcome these challenges in Robopt, a novel vector-based optimizer we have built for Rheem, a cross-platform system. Robopt not only uses an ML model to prune the search space but also bases the entire plan enumeration on a set of algebraic operations that operate on vectors, which are a natural fit to the ML model. This leads to both speed-up and scale-up of the enumeration process by exploiting modern CPUs via vectorization. We also accompany Robopt with a scalable training data generator for building its ML model. Our evaluation shows that (i) the vector-based approach is more efficient and scalable than simply using an ML model and (ii) Robopt matches and, in some cases, improves Rheem's cost-based optimizer in choosing good plans without requiring any tuning effort."
snowball,Towards predicting query execution time for conc,forward,W4281931699,10.1145/3514221.3522566,"Multi-Tenant Cloud Data Services: State-of-the-Art, Challenges and Opportunities",2022,Proceedings of the 2022 International Conference on Management of Data,conference-paper,25,closed,,"Enterprises are moving their business-critical workloads to public clouds at an accelerating pace. Multi-tenancy is a crucial tenet for cloud data service providers allowing them to provide services in cost-effective manner by sharing of resources among tenants of the service. In this tutorial we review architectures of today's cloud data services and identify trends and challenges that arise in multi-tenant cloud data services. We discuss techniques that have been developed for enabling elasticity, providing SLAs, ensuring performance isolation, and reducing cost. We conclude with open research problems in cloud data services."
snowball,Towards predicting query execution time for conc,forward,W2807794151,10.1007/s00778-018-0508-7,Multi-schema-version data management: data independence in the twenty-first century,2018,The VLDB Journal,article,21,green,https://vbn.aau.dk/da/publications/98eb40db-f391-42b8-a050-7d82d30fa21e,
snowball,Towards predicting query execution time for conc,forward,W4210634541,10.1016/j.bdr.2021.100304,Survey on Learnable Databases: A Machine Learning Perspective,2022,Big Data Research,article,18,closed,,
snowball,Towards predicting query execution time for conc,forward,W3120335745,10.1007/s00500-020-05544-w,Achieving query performance in the cloud via a cost-effective data replication strategy,2021,Soft Computing,article,17,closed,,
snowball,Towards predicting query execution time for conc,forward,W2432403016,10.3390/mca21020023,A Recommendation System for Execution Plans Using Machine Learning,2016,Mathematical and Computational Applications,article,15,gold,https://www.mdpi.com/2297-8747/21/2/23/pdf?version=1465994516,"Generating execution plans is a costly operation for the DataBase Management System (DBMS). An interesting alternative to this operation is to reuse the old execution plans, that were already generated by the optimizer for past queries, to execute new queries. In this paper, we present an approach for execution plan recommendation in two phases. We firstly propose a textual representation of our SQL queries and use it to build a Features Extractor module. Then, we present a straightforward solution to identify query similarity.This solution relies only on the comparison of the SQL statements. Next, we show how to build an improved solution enabled by machine learning techniques. The improved version takes into account the features of the queries’ execution plans. By comparing three machine learning algorithms, we find that the improved solution using Classification Based on Associative Rules (CAR) identifies similarity in 91 % of the cases."
snowball,Towards predicting query execution time for conc,forward,W4391055215,10.1145/3641832.3641836,ML-Powered Index Tuning: An Overview of Recent Progress and Open Challenges,2023,ACM SIGMOD Record,article,12,bronze,https://dl.acm.org/doi/pdf/10.1145/3641832.3641836,"The increasing scale and complexity of workloads in modern cloud services highlight a crucial challenge in automated index tuning: recommending high-quality indexes while ensuring scalability. This is further complicated by the need for these automated solutions to minimize query performance regressions in production deployments. This paper directs attention to some of these challenges in automated index tuning and explores ways in which machine learning (ML) techniques provide new opportunities in their mitigation. In particular, we reflect on our recent efforts in developing ML techniques for workload selection, candidate index filtering, speeding up index configuration search, reducing the amount of query optimizer calls, and lowering the chances of performance regressions. We highlight the key takeaways from these efforts and underline the gaps that need to be closed for their effective functioning within the traditional index tuning framework. Additionally, we present a preliminary cross-platform design aimed at democratizing index tuning across multiple SQL-like systems-an imperative in today's continuously expanding data system landscape. We believe our findings will help provide context and impetus to the research and development efforts in automated index tuning."
snowball,Towards predicting query execution time for conc,forward,W4306317394,10.1145/3511808.3557305,Efficient Learning with Pseudo Labels for Query Cost Estimation,2022,Proceedings of the 31st ACM International Conference on Information &amp; Knowledge Management,conference-paper,9,green,https://vbn.aau.dk/ws/files/800154408/Efficient_Learning_with_Pseudo_Labels_for_Query_Cost_Estimation.pdf,"Query cost estimation, which is to estimate the query plan cost and query execution cost, is of utmost importance to query optimizers. Query plan cost estimation heavily relies on accurate cardinality estimation, and query execution cost estimation gives good hints on query latency, both of which are challenging in database management systems. Despite decades of research, existing studies either over-simplify the models only using histograms and polynomial calculation that leads to inaccurate estimates, or over-complicate them by using cumbersome neural networks with the requirements for large amounts of training data hence poor computational efficiency. Besides, most of the studies ignore the diversity of query plan structures. In this work, we propose a plan-based query cost estimation framework, called Saturn, which can eStimate cardinality and latency accurately and efficiently, for any query plan structures. Saturn first encodes each query plan tree into a compressed vector by using a traversal-based query plan autoencoder to cope with diverse plan structures. The compressed vectors can be leveraged to distinguish different query types, which is highly useful for downstream tasks. Then a pseudo label generator is designed to acquire all cardinality and latency labels with the execution part of the query plans in the training workload, which can significantly reduce the overhead of collecting the real cardinality and latency labels. Finally, a chain-wise transfer learning"
snowball,Towards predicting query execution time for conc,forward,W3174902279,10.1109/icde51399.2021.00267,Workload-Aware Performance Tuning for Autonomous DBMSs,2021,,conference-paper,9,green,http://hdl.handle.net/10138/341325,"Optimal configuration is vital for a DataBase Management System (DBMS) to achieve high performance. There is no one-size-fits-all configuration that works for different workloads since each workload has varying patterns with different resource requirements. There is a relationship between configuration, workload, and system performance. If a configuration cannot adapt to the dynamic changes of a workload, there could be a significant degradation in the overall performance of DBMS unless a sophisticated administrator is continuously re-configuring the DBMS. In this tutorial, we focus on autonomous workload-aware performance tuning, which is expected to automatically and continuously tune the configuration as the workload changes. We survey three research directions, including 1) workload classification, 2) workload forecasting, and 3) workload-based tuning. While the first two topics address the issue of obtaining accurate workload information, the third one tackles the problem of how to properly use the workload information to optimize performance. We also identify research challenges and open problems, and give real-world examples about leveraging workload information for database tuning in commercial products (e.g., Amazon Redshift). We will demonstrate workload-aware performance tuning in Amazon Redshift in the presentation."
snowball,Towards predicting query execution time for conc,forward,W4393183958,10.1145/3639305,Wred: Workload Reduction for Scalable Index Tuning,2024,Proceedings of the ACM on Management of Data,article,7,bronze,https://dl.acm.org/doi/pdf/10.1145/3639305,"Modern database systems offer index-tuning advisors that automatically identify a set of indexes to improve workload performance. Advisors leverage the optimizer's what-if API to optimize a query for a hypothetical index configuration. Because what-if calls constitute a major bottleneck of index tuning, existing techniques, such as workload compression, help reduce the number of what-if calls to speed up tuning. Unfortunately, even with small workloads and few what-if calls, tuning can still take hours due to the complexity of the queries (e.g., the number of joins, filters, group-by and order-by clauses), which increases their optimization time. This paper introduces workload reduction, a new complementary technique aimed at expediting index tuning by decreasing individual what-if call time without significantly affecting the quality of index tuning. We present an efficient workload reduction algorithm, called Wred, which rewrites each query in the original workload to eliminate column and table expressions unlikely to benefit from indexes, thereby accelerating what-if calls. We study its complexity and ability to maintain high index quality. We perform an extensive evaluation over industry benchmarks and real-world customer workloads, which shows that Wred results in a 3x median speedup in tuning efficiency over an industrial-strength state-of-the-art index advisor, with only a 3.7% median loss in improvement---where improvement is the total workload cost as estimated by th"
snowball,Towards predicting query execution time for conc,forward,W2949595278,10.1109/icde.2019.00242,Robust Query Processing: Mission Possible,2019,,conference-paper,7,closed,,"Robust query processing with strong performance guarantees is an extremely desirable objective in the design of industrial-strength database engines. However, it has proved to be a largely intractable and elusive challenge in spite of sustained efforts spanning several decades. The good news is that in recent times, there have been a host of exciting technical advances, at different levels in the database architecture, that collectively promise to materially address this problem. In this tutorial, we will present these novel research approaches, characterize their strengths and limitations, and enumerate open technical problems that remain to be solved to make robust query processing a contemporary reality."
snowball,Towards predicting query execution time for conc,forward,W2782815351,10.1109/bigdata.2017.8257979,Drum: A rhythmic approach to interactive analytics on large data,2017,,conference-paper,7,closed,,"In this paper, we study how to progressively answer a time-consuming query on a large data set by generating a sequence of mini-queries. We formulate an optimization problem to produce the predicates of mini-queries by considering both their total running time as well as the smoothness of result delivery in order to show the incremental results at a rhythmic pace to improve the user experience. We develop an adaptive framework called Drum that can collect the runtime behavioral statistics of the database system to decide the predicate of the next mini-query appropriately. The framework is a general middleware solution without any changes to the underlying database system. We have conducted extensive experiments on a large, real data set, and the results show that Drum can reduce the delay of delivering intermediate results to the user without sacrificing much total time."
snowball,Towards predicting query execution time for conc,forward,W2756107289,10.1109/bigdatacongress.2017.13,Adaptive Concurrent Query Execution Framework for an Analytical In-Memory Database System,2017,,conference-paper,7,closed,,"There is a growing need for in-memory database analytic services, especially in cloud settings. Concurrent query execution is common in such environments. A crucial deployment requirement is to employ a concurrent query execution scheduling framework that is flexible, precise, and adaptive to meet specified deployment goals. In addition, the framework must also aim to use all the underlying hardware resources effectively (for high performance and high cost efficiency). This paper focuses on the design and evaluation of such a scheduler framework. Our scheduler framework incorporates a design in which the scheduling policies are cleanly separated from the scheduling mechanisms, allowing the scheduler to support a variety of policies, such as fair and priority scheduling. The scheduler also contains a novel learning component to monitor and quickly adapt to changing resource requirements of concurrent queries. In addition, the scheduler easily incorporates a load controller to protect the system from thrashing in situations when resources are scarce/oversubscribed. We have implemented our scheduling framework in an in-memory database engine, and using this implementation we also demonstrate the effectiveness of our approach. Collectively, we present the design and implementation of a scheduling framework for in-memory database services on contemporary hardware in modern deployment settings."
snowball,Towards predicting query execution time for conc,forward,W2468703436,10.1007/s00778-016-0435-4,Resource bricolage and resource selection for parallel database systems,2016,The VLDB Journal,article,7,closed,,
snowball,Towards predicting query execution time for conc,forward,W1972554000,10.1007/s40595-015-0042-0,Predicting database workloads through mining periodic patterns in database audit trails,2015,Vietnam Journal of Computer Science,article,6,diamond,https://link.springer.com/content/pdf/10.1007%2Fs40595-015-0042-0.pdf,"Information about the periodic changes of intensity and structure of database workloads plays an important role in performance tuning of functional components of database systems. Discovering the patterns in workload information, such as audit trails, traces of user applications, and sequences of dynamic performance views, is a complex and time-consuming task. This work investigates a new approach to analysis of information included in the database audit trails. In particular, it describes the transformations of information included in the audit trails into a format that can be used for discovering the periodic patterns in the fluctuations of database workloads. It presents an algorithm that finds elementary periodic patterns through nested iterations over a four-dimensional space of execution plans of SQL statements and positional parameters of the patterns. It proposes a collection of composition rules for the derivations of complex periodic patterns from the elementary and other complex patterns and it shows how to use such rules to predict the future workload levels."
snowball,Towards predicting query execution time for conc,forward,W2118858467,10.1109/noms.2014.6838359,Memory-aware sizing for in-memory databases,2014,,conference-paper,6,green,http://hdl.handle.net/10044/1/95012,In-memory database systems are among the technological drivers of big data processing. In this paper we apply analytical modeling to enable efficient sizing of in-memory databases. We present novel response time approximations under online analytical processing workloads to model thread-level fork-join and per-class memory occupation.We combine these approximations with a non-linear optimization program to minimize memory swapping in in-memory database clusters. We compare our approach with state-of-the-art response time approximations and trace-driven simulation using real data from an SAP HANA in-memory system and show that our optimization model is significantly more accurate than existing approaches at similar computational costs.
snowball,Towards predicting query execution time for conc,forward,W4405475416,10.1561/1900000089,Robust Query Processing: A Survey,2024,Foundations and Trends in Databases,article,5,closed,,"The primordial function of a database system is to efficiently compute correct answers to user queries. Therefore, robust query processing (RQP), where strong numerical guarantees are provided on query performance, has been a long-standing core objective in the design of industrial-strength database engines. Unfortunately, however, RQP has proved to be a largely intractable and elusive challenge, despite sustained efforts spanning several decades. This problematic situation has arisen from a variety of knotty technical hurdles, including complex query representations, limited metadata coverage, coarse statistical models, and hypersensitive operator behaviors. Its impact is felt acutely since the performance degradation faced by database queries can be huge, reaching orders of magnitude as compared to an oracular ideal. Notwithstanding this daunting history, the good news is that in recent times, there have been a host of exciting technical advances that collectively promise to materially address the robustness objective. The new approaches have been constructed at different levels in the database architecture, and tackle robustness in cost models, database operators, query execution plans and query processing strategies. Although most of this literature is based on statistical and geometric formulations, a significant corpus of machine learning-based techniques is also now available. In this monograph, we present an overview of these novel research paradigms, and highlight th"
snowball,Towards predicting query execution time for conc,forward,W4399156413,10.1145/3654985,Wii: Dynamic Budget Reallocation In Index Tuning,2024,Proceedings of the ACM on Management of Data,article,5,closed,,"Index tuning aims to find the optimal index configuration for an input workload. It is often a time-consuming and resource-intensive process, largely attributed to the huge amount of ""what-if"" calls made to the query optimizer during configuration enumeration. Therefore, in practice it is desirable to set a budget constraint that limits the number of what-if calls allowed. This yields a new problem of budget allocation, namely, deciding on which query-configuration pairs (QCP's) to issue what-if calls. Unfortunately, optimal budget allocation is NP-hard, and budget allocation decisions made by existing solutions can be inferior. In particular, many of the what-if calls allocated by using existing solutions are devoted to QCP's whose what-if costs can be approximated by using cost derivation, a well-known technique that is computationally much more efficient and has been adopted by commercial index tuning software. This results in considerable waste of the budget, as these what-if calls are unnecessary. In this paper, we propose ""Wii,"" a lightweight mechanism that aims to avoid such spurious what-if calls. It can be seamlessly integrated with existing configuration enumeration algorithms. Experimental evaluation on top of both standard industrial benchmarks and real workloads demonstrates that Wii can eliminate significant number of spurious what-if calls. Moreover, by reallocating the saved budget to QCP's where cost derivation is less accurate, existing algorithms can be sig"
snowball,Towards predicting query execution time for conc,forward,W4282568501,10.1145/3514221.3526050,Intelligent Automated Workload Analysis for Database Replatforming,2022,Proceedings of the 2022 International Conference on Management of Data,conference-paper,5,closed,,"Performing a detailed workload analysis is a crucial step in determining the feasibility, timeline and cost of a major data warehouse replatforming project, i.e., migration from one platform to another. A large company's data warehouse applications may include millions of queries, some of which will use features that are unsupported or have different semantics in the new warehouse, or may have poor performance there."
snowball,Towards predicting query execution time for conc,forward,W3085443750,10.14778/3415478.3415561,Robust query processing,2020,Proceedings of the VLDB Endowment,article,5,closed,,"Robust query processing with strong performance guarantees is an extremely desirable objective in the design of industrial-strength database engines. However, it has proved to be a largely intractable and elusive challenge in spite of sustained efforts spanning several decades. The good news is that in recent times, there have been a host of exciting technical advances, at different levels in the database architecture, that collectively promise to materially address this problem. In this tutorial, we will present these novel research approaches, characterize their strengths and limitations, and enumerate open technical problems that remain to be solved to make robust query processing a contemporary reality."
snowball,Towards predicting query execution time for conc,forward,W3088480703,10.1007/978-3-030-59419-0_12,DeepQT : Learning Sequential Context for Query Execution Time Prediction,2020,Lecture notes in computer science,conference-paper,5,closed,,
snowball,Towards predicting query execution time for conc,forward,W2519967598,10.1145/2961888,Contention-Aware Workload Placement for In-Memory Databases in Cloud Environments,2016,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,article,5,closed,,"Big data processing is driven by new types of in-memory database systems. In this article, we apply performance modeling to efficiently optimize workload placement for such systems. In particular, we propose novel response time approximations for in-memory databases based on fork-join queuing models and contention probabilities to model variable threading levels and per-class memory occupation under analytical workloads. We combine these approximations with a nonlinear optimization methodology that seeks optimal load dispatching probabilities in order to minimize memory swapping and resource utilization. We compare our approach with state-of-the-art response time approximations using real data from an SAP HANA in-memory system and show that our models markedly improve accuracy over existing approaches, at similar computational costs."
snowball,Towards predicting query execution time for conc,forward,W4411403367,10.1145/3725364,T3: Accurate and Fast Performance Prediction for Relational Database Systems With Compiled Decision Trees,2025,Proceedings of the ACM on Management of Data,article,4,hybrid,https://dl.acm.org/doi/pdf/10.1145/3725364,"Query performance prediction is used for scheduling, resource scaling, tenant placement, and various other use-cases. Here, the main goal is to estimate the execution time of a query without running it. To be effective, predictors need to be both accurate and fast. In contrast, neural networks that were used in recent work deliver very accurate predictions but suffer from high latency. In this work, we propose the Tuple Time Tree (T3), a new model that is both accurate and fast. It is orders of magnitude faster than comparable methods and has competitive accuracy to state-of-the-art approaches. Additionally, T3 works for new database instances without re-training because it generalizes across database instances. We achieve T3's speed by relying on a low-latency decision tree model that is compiled to native machine code. We maintain high accuracy with two novel techniques: pipeline-based query plan representation and tuple-centric prediction targets. In our pipeline-based query plan representation, T3 decomposes query plans into pipelines. Then, T3 predicts the execution time of each pipeline individually, instead of the whole query in one step. With tuple-centric prediction targets, T3 predicts the expected time it takes to push a single tuple through a pipeline. It then multiplies this predicted value by the input cardinality of the pipeline to estimate its execution time. As a result, T3 achieves state-of-the-art accuracy with a low-latency decision tree model."
snowball,Towards predicting query execution time for conc,forward,W4406949573,10.1109/mc.2024.3521641,Architecture 2.0: Foundations of Artificial Intelligence Agents for Modern Computer System Design,2025,Computer,article,4,closed,,"AI agents could herald a new golden age of modern computer system design, enabling the creation of complex systems with minimal human input. Achieving this vision, however, demands curating datasets, defining benchmarks, and fostering interpretability alongside balancing AI autonomy with human expertise."
snowball,Towards predicting query execution time for conc,forward,W3180454296,10.1109/access.2021.3096039,Autonomic Workload Performance Modeling for Large-Scale Databases and Data Warehouses Through Deep Belief Network With Data Augmentation Using Conditional Generative Adversarial Networks,2021,IEEE Access,article,4,gold,https://ieeexplore.ieee.org/ielx7/6287639/9312710/09478861.pdf,"Databases and warehouses are experiencing workload of different types such as Decision Support System (DSS), Online Transaction Processing (OLTP) and Mixed workloads. Handling variety of workload in autonomic systems is a critical task. After self-configuring the workload, the next challenge is workload performance tuning that motives towards self-predictive systems. Existing studies provide performance modeling solutions on small-scale data repositories of Database Management System (DBMS) and Data Warehouse (DWH) using either classical eager or lazy learning approaches. However, in real-world problems, we normally have to deal with large-scale data repositories. Therefore, there is a need to develop performance models that provide data augmentation to solve large-scale data repositories that are not publicly available. In this study, deep learning approaches have been investigated for performance tuning of large-scale data repositories. We propose a performance prediction model called Optimized GAN-based Deep Learning (OGDL) model. For data augmentation, Conditional Generative Adversarial Networks (CGAN) is applied. For autonomic perspective, we incorporated MAPE-K model to manage the workload autonomically. Different deep learning models are applied, and it was observed that Deep Belief Network (DBN) performed better as compared to other deep learning models such as Deep Neural Network (DNN). We performed a number of experiments and from results it is observed that deep le"
snowball,Towards predicting query execution time for conc,forward,W2931886760,,Scheduling Data-Intensive Tasks on Heterogeneous Many Cores.,2019,IT University Of Copenhagen (IT University of Copenhagen),article,4,green,https://pure.itu.dk/portal/da/publications/da634aae-c0f1-471a-8ba8-3547da2b84ec,"Scheduling various data-intensive tasks over the processing units of a server has been a heavily studied but still challenging effort. In order to utilize modern multicore servers well, a good scheduling mechanism has to be conscious of different dimensions of parallelism offered by these servers. This requires being aware of the micro-architectural features of processors, the hardware topology connecting the processing units of a server, and the characteristics of these units as well as the data-intensive tasks. The increasing levels of parallelism and heterogeneity in emerging server hardware amplify these challenges in addition to the increasing variety of data-intensive applications. This article first surveys the existing scheduling mechanisms targeting the utilization of a multicore server with uniform processing units. Then, it revisits them in the context of emerging server hardware composed of many diverse cores and identifies the main challenges. Finally, it concludes with the description of a preliminary framework targeting these challenges. Even though this article focuses on data-intensive applications on a single server, many of the challenges and opportunities identified here are not unique to such a setup, and would be relevant to other complex software systems as well as resource-constrained or large-scale hardware platforms."
snowball,Towards predicting query execution time for conc,forward,W2904299378,10.1109/tkde.2018.2884724,Scheduling Resources to Multiple Pipelines of One Query in a Main Memory Database Cluster,2018,IEEE Transactions on Knowledge and Data Engineering,article,4,closed,,"To fully utilize the resources of a main memory database cluster, we additionally take the independent parallelism into account to parallelize multiple pipelines of one query. However, scheduling resources to multiple pipelines is an intractable problem. Traditional static approaches to this problem may lead to a serious waste of resources and suboptimal execution order of pipelines, because it is hard to predict the actual data distribution and fluctuating workloads at compile time. In response, we propose a dynamic scheduling algorithm, List with Filling and Preemption (LFPS), based on two novel techniques. (1) Adaptive filling improves resource utilization by issuing more extra pipelines to adaptively fill idle resource “holes” during execution. (2) Rank-based preemption strictly guarantees scheduling the pipelines on the critical path first at run time. Interestingly, the latter facilitates the former filling idle “holes” with best efforts to finish multiple pipelines as soon as possible. We implement LFPS in our prototype database system. Under the workloads of TPC-H, experiments show our work improves the finish time of parallelizable pipelines from one query up to 2.5X than a static approach and 2.1X than a serialized execution."
snowball,Predicting the End-to-End Tail Latency of Contai,backward,W2296335794,,Docker: lightweight Linux containers for consistent development and deployment,2014,Linux journal,article,3299,closed,,"Docker promises the ability to package applications and their dependencies into lightweight containers that move easily between different distros, start up quickly and are isolated from each other."
snowball,Predicting the End-to-End Tail Latency of Contai,backward,W2562162676,10.1111/j.1467-9868.2010.00740.x,Stability Selection,2010,Journal of the Royal Statistical Society Series B (Statistical Methodology),article,2251,closed,,"Summary Estimation of structure, such as in variable selection, graphical modelling or cluster analysis, is notoriously difficult, especially for high dimensional data. We introduce stability selection. It is based on subsampling in combination with (high dimensional) selection algorithms. As such, the method is extremely general and has a very wide range of applicability. Stability selection provides finite sample control for some error rates of false discoveries and hence a transparent principle to choose a proper amount of regularization for structure estimation. Variable selection and structure estimation improve markedly for a range of selection methods if stability selection is applied. We prove for the randomized lasso that stability selection will be variable selection consistent even if the necessary conditions for consistency of the original lasso method are violated. We demonstrate stability selection for variable selection and Gaussian graphical modelling, using real and simulated data."
snowball,Predicting the End-to-End Tail Latency of Contai,backward,W1971536112,10.1137/s1052623497325107,An Interior Point Algorithm for Large-Scale Nonlinear Programming,1999,SIAM Journal on Optimization,article,1749,closed,,"The design and implementation of a new algorithm for solving large nonlinear programming problems is described. It follows a barrier approach that employs sequential quadratic programming and trust regions to solve the subproblems occurring in the iteration. Both primal and primal-dual versions of the algorithm are developed, and their performance is illustrated in a set of numerical tests."
snowball,Predicting the End-to-End Tail Latency of Contai,backward,W2322013807,10.1109/ms.2016.64,Microservices Architecture Enables DevOps: Migration to a Cloud-Native Architecture,2016,IEEE Software,article,735,closed,,This article reports on experiences and lessons learned during incremental migration and architectural refactoring of a commercial mobile back end as a service to microservices architecture. It explains how the researchers adopted DevOps and how this facilitated a smooth migration.
snowball,Predicting the End-to-End Tail Latency of Contai,backward,W2046183884,10.1145/1064212.1064252,An analytical model for multi-tier internet services and its applications,2005,,conference-paper,548,closed,,"Since many Internet applications employ a multi-tier architecture, in this paper, we focus on the problem of analytically modeling the behavior of such applications. We present a model based on a network of queues, where the queues represent different tiers of the application. Our model is sufficiently general to capture (i) the behavior of tiers with significantly different performance characteristics and (ii) application idiosyncrasies such as session-based workloads, concurrency limits, and caching at intermediate tiers. We validate our model using real multi-tier applications running on a Linux server cluster. Our experiments indicate that our model faithfully captures the performance of these applications for a number of workloads and configurations. For a variety of scenarios, including those with caching at one of the application tiers, the average response times predicted by our model were within the 95% confidence intervals of the observed average response times. Our experiments also demonstrate the utility of the model for dynamic capacity provisioning, performance prediction, bottleneck identification, and session policing. In one scenario, where the request arrival rate increased from less than 1500 to nearly 4200 requests/min, a dynamic provisioning technique employing our model was able to maintain response time targets by increasing the capacity of two of the application tiers by factors of 2 and 3.5, respectively."
