score,signals,origin,openalex_id,doi,title,year,venue,cited_by,oa_status,oa_url,abstract
4,container;interference,keyword,W4401211907,10.1109/icccs61882.2024.10603358,Modeling Memory Bandwidth Interference in Cloud Data Centers via Deep Learning,2024,,2,closed,,"While large scale data centers have become more and more popular, performance interference among different workloads brings challenges to the guarantee of QoS. Although quite a number of studies have been made on handling such interference caused by resource sharing, there still lacks work on modeling the memory bandwidth interference which could obviously affect the workload performance. Due to the lack of isolation techniques on memory bandwidth and the dynamics of memory access patterns, workload interference on memory bandwidth is more complicated than the interference on other shared resources. In this paper, we propose a novel Memory Bandwidth Interference Model (MBIM) to estimate the interference of memory bandwidth in co-located cloud workloads. To capture the interference precisely, our MBIM harnesses the architectural structure of the workload deployment and utilizes micro-architectural metrics. Our MBIM consists of four parts: (1) Container static feature selection. (2) Dynamic load information integration. (3) Hierarchical information generation using multi-layer perceptron. (4) Memory bandwidth interference estimation model based on deep learning. Extensive experiments demonstrate that our MBIM can improve average accuracy by 14.9% in MSE, 10.7% in MAPE, and 6.7% in SMAPE of the estimated memory bandwidth interference. To the best of our knowledge, this is the first work of modeling memory bandwidth interference in cloud data centers."
4,container;interference,snowball,W4388145484,10.1109/tpds.2023.3329298,Optimizing I/O Performance Through Effective vCPU Scheduling Interference Management,2023,IEEE Transactions on Parallel and Distributed Systems,1,closed,,"Virtual machines (VMs) heavily rely on virtual CPUs (vCPUs) scheduling to achieve efficient I/O performance. The vCPU scheduling interference can cause inconsistent scheduling latency and degraded I/O performance, potentially compromising the services provided by affected VMs. Existing solutions have limitations, such as inefficiency in diagnosing interference issues or imposing undesired side effects on cloud systems. To address these challenges, we present Otter, a holistic technique for optimizing I/O performance in the presence of vCPU scheduling interference. Otter employs innovative methods to enhance interference diagnosis efficiency. First, we propose lightweight methods to measure the dynamic changes in scheduling latencies for co-running vCPUs, ensuring both flexibility and accuracy. Second, we propose fine-grained quantification methods to timely determine the interference, with low false positive and false negative rates. Third, we identify interference patterns that aid in analyzing the root causes of interference and preventing similar issues from recurring. Otter has been operational for one year in the production cloud at the National Supercomputing Center (Wuxi). It diagnoses and helps fix more than 470 vCPU scheduling interference-related issues, resulting in a 19.6% improvement in cloud service I/O performance with negligible overhead in production."
4,container;interference,keyword,W3206913473,10.1002/cpe.6666,ScaleReactor: A graceful performance isolation agent with interference detection and investigation for container‐based scale‐out workloads,2021,Concurrency and Computation Practice and Experience,0,closed,,"Summary Striking a balance between improved cluster utilization and guaranteed application QoS is a long‐standing research problem in multi‐tenants shared cluster. The typical solution is to detect performance degradation and investigate the root cause to conduct performance isolation. Existing efforts rely on lots of prior knowledge of applications and the assumption of interference‐free workload placement is possible. Performance interference is usually mitigated through application‐level approaches such as centralized rescheduling, which is usually an hindsight and a waste of resources. In this article, we present ScaleReactor, a graceful runtime agent on a per node basis that decouples the performance isolation from centralized resource management, and migrates the performance interference of scale‐out workloads in container‐based cluster using a lightweight black‐box approach. ScaleReactor analyzes the degree of contention for multi‐dimensional resources among co‐located workloads to detect the performance degradation without additional prior information, and uses correlation analysis to locate the cause of contention, while isolating resources in a graceful manner to reduce system overhead and the performance degradation of intrusive workloads. Experiments have demonstrated that ScaleReactor effectively reduces the job completion time of scale‐out applications in shared clusters, with the maximum value up to 36% and low system overhead against the existing isolation mec"
4,container;interference,keyword,W7119445992,,Agendamento de contêiner ciente da QoE para aplicações em nuvem co-localizados,2021,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),0,closed,,"Cloud computing has been successful in providing computing resources to deploy highly available applications for multiple content providers (cloud customers). In this case, to improve resource usage, the cloud provider tends to share its computing resources between different customers, co-locating applications on the same server. However, co-located applications generate interference with each other, which can cause degradation of the applications. Furthermore, each application demands a different type of resource and performance, which makes resource management even more complex. To mitigate this, the container scheduling process uses metrics based on Quality of Service (QoS), which are pre-established and specified in the Service Level Objectives (SLO). However, for applications where users' experience is important and measurable, QoS-based SLO is insufficient to guarantee end-users good Quality of Experience (QoE). This is because the QoS metrics do not correctly reflect the users' experience.The proposal of this dissertation deals with this problem, proposing a QoE-aware container scheduler/rescheduler in an environment where applications are co-located. To that end, we propose a new approach that considers cloud metrics to estimate the QoE that the cloud can offer. Furthermore, we propose using QoE as a performance metric in SLO and an algorithm that uses QoE estimation to perform the container scheduling/rescheduling. Finally, we carried out an experimental evaluation o"
4,interference;load balanc,keyword,W7115031774,,Predictable Application Performance in Resource Clusters,2025,TU/e Research Portal,0,green,https://pure.tue.nl/ws/files/370912207/20251210_Giannakopoulos_hf.pdf,"As applications such as augmented reality, connected vehicles, and real-time analytics grow in complexity, the need for fast and predictable task execution has become critical. Meeting these requirements is especially challenging at the network edge, where hardware is heterogeneous, power-limited, and shared among multiple co-located applications. These factors introduce performance variability, making it difficult to meet Round-Trip Time (RTT) deadlines. Modern distributed systems execute tasks across multiple servers, yet traditional schedulers and load balancers react only after performance degradation occurs, leading to inefficient resource use and possible Service Level Agreements (SLAs) violations. To address this, research has explored performance-aware decision-making, where scheduling and load balancing rely on monitoring data. However, existing methods often use coarse metrics, arbitrary subsets of system state, or high-overhead profiling that assumes homogeneous hardware. Such approaches fail to capture the rapid fluctuations and interference typical of edge clusters. Achieving strict RTT deadlines under these dynamic conditions requires anticipating performance in advance through lightweight, per-request predictions suitable for millisecond-scale workloads. This thesis develops lightweight and accurate performance predictors that enable proactive resource management in heterogeneous clusters, targeting time-sensitive applications. Instead of reacting to slowdowns,"
4,container;interference,snowball,W4414909313,10.1109/cluster59342.2025.11186461,TRACE: A Targeted Recommender for VM Assignment in Cloud Environment,2025,,0,closed,,"Multi-tenancy in modern cloud service colocates multiple virtual machines (VMs) into physical machines (PMs) to improve resource efficiency. However, co-location introduces interference among VMs, potentially degrading the quality-ofservice (QoS) for users. Previous methods predict QoS degradation and schedule VMs accordingly, but they often overlook important information provided by VM metrics and are hard to integrate with real-world cloud schedulers. Considering the above factors, we present TRACE, a novel QoS-aware, lightweight, and decoupled recommender for VM scheduling. Firstly, TRACE employs a dual-tower feature extraction mechanism that independently extracts metrics from VMs and PMs, thereby reducing the time complexity of the model. Secondly, the dual-tower is enhanced by Deep & Cross Networks to explicitly model cross-feature interactions, and we further incorporate a Set Transformer to process overlooked multi-VM metrics from the PM. Thirdly, TRACE designs a trainable similarity gate and an adaptive mask to filter suboptimal migrations, decoupling it from the scheduler for easy integration. Experimental results on data collected from real-world clusters show that TRACE outperforms state-of-the-art methods in QoS prediction accuracy and ranking quality, achieving at least 6.3 % QoS improvements."
3,performance prediction,snowball,W2046183884,10.1145/1064212.1064252,An analytical model for multi-tier internet services and its applications,2005,,548,closed,,"Since many Internet applications employ a multi-tier architecture, in this paper, we focus on the problem of analytically modeling the behavior of such applications. We present a model based on a network of queues, where the queues represent different tiers of the application. Our model is sufficiently general to capture (i) the behavior of tiers with significantly different performance characteristics and (ii) application idiosyncrasies such as session-based workloads, concurrency limits, and caching at intermediate tiers. We validate our model using real multi-tier applications running on a Linux server cluster. Our experiments indicate that our model faithfully captures the performance of these applications for a number of workloads and configurations. For a variety of scenarios, including those with caching at one of the application tiers, the average response times predicted by our model were within the 95% confidence intervals of the observed average response times. Our experiments also demonstrate the utility of the model for dynamic capacity provisioning, performance prediction, bottleneck identification, and session policing. In one scenario, where the request arrival rate increased from less than 1500 to nearly 4200 requests/min, a dynamic provisioning technique employing our model was able to maintain response time targets by increasing the capacity of two of the application tiers by factors of 2 and 3.5, respectively."
3,performance prediction,snowball,W2139250332,10.1109/tpds.2007.70606,Backfilling Using System-Generated Predictions Rather than User Runtime Estimates,2007,IEEE Transactions on Parallel and Distributed Systems,374,closed,,"The most commonly used scheduling algorithm for parallel supercomputers is FCFS with backfilling, as originally introduced in the EASY scheduler. Backfilling means that short jobs are allowed to run ahead of their time provided they do not delay previously queued jobs (or at least the first queued job). However, predictions have not been incorporated into production schedulers, partially due to a misconception (that we resolve) claiming inaccuracy actually improves performance, but mainly because underprediction is technically unacceptable: users will not tolerate jobs being killed just because system predictions were too short. We solve this problem by divorcing kill-time from the runtime prediction and correcting predictions adaptively as needed if they are proved wrong. The end result is a surprisingly simple scheduler, which requires minimal deviations from current practices (e.g., using FCFS as the basis) and behaves exactly like EASY as far as users are concerned; nevertheless, it achieves significant improvements in performance, predictability, and accuracy. Notably, this is based on a very simple runtime predictor that just averages the runtimes of the last two jobs by the same user; counter intuitively, our results indicate that using recent data is more important than mining the history for similar jobs. All the techniques suggested in this paper can be used to enhance any backfilling algorithm and are not limited to EASY"
3,cgroup,snowball,W2129573249,10.1145/1735970.1736058,Fairness via source throttling,2010,ACM SIGARCH Computer Architecture News,238,closed,,"Cores in a chip-multiprocessor (CMP) system share multiple hardware resources in the memory subsystem. If resource sharing is unfair, some applications can be delayed significantly while others are unfairly prioritized. Previous research proposed separate fairness mechanisms in each individual resource. Such resource-based fairness mechanisms implemented independently in each resource can make contradictory decisions, leading to low fairness and loss of performance. Therefore, a coordinated mechanism that provides fairness in the entire shared memory system is desirable. This paper proposes a new approach that provides fairness in the entire shared memory system , thereby eliminating the need for and complexity of developing fairness mechanisms for each individual resource. Our technique, Fairness via Source Throttling (FST), estimates the unfairness in the entire shared memory system. If the estimated unfairness is above a threshold set by system software, FST throttles down cores causing unfairness by limiting the number of requests they can inject into the system and the frequency at which they do. As such, our source-based fairness control ensures fairness decisions are made in tandem in the entire memory system. FST also enforces thread priorities/weights, and enables system software to enforce different fairness objectives and fairness-performance tradeoffs in the memory system. Our evaluations show that FST provides the best system fairness and performance compared to "
3,performance prediction,snowball,W2010149990,10.1145/1989323.1989359,Performance prediction for concurrent database workloads,2011,,147,closed,,"Current trends in data management systems, such as cloud and multi-tenant databases, are leading to data processing environments that concurrently execute heterogeneous query workloads. At the same time, these systems need to satisfy diverse performance expectations. In these newly-emerging settings, avoiding potential Quality-of-Service (QoS) violations heavily relies on performance predictability, i.e., the ability to estimate the impact of concurrent query execution on the performance of individual queries in a continuously evolving workload."
3,performance prediction,snowball,W2911464154,10.14778/3342263.3342646,Plan-structured deep neural network models for query performance prediction,2019,Proceedings of the VLDB Endowment,133,green,https://arxiv.org/pdf/1902.00132,"Query performance prediction, the task of predicting a query's latency prior to execution, is a challenging problem in database management systems. Existing approaches rely on features and performance models engineered by human experts, but often fail to capture the complex interactions between query operators and input relations, and generally do not adapt naturally to workload characteristics and patterns in query execution plans. In this paper, we argue that deep learning can be applied to the query performance prediction problem, and we introduce a novel neural network architecture for the task: a plan-structured neural network . Our neural network architecture matches the structure of any optimizer-selected query execution plan and predict its latency with high accuracy, while eliminating the need for human-crafted input features. A number of optimizations are also proposed to reduce training overhead without sacrificing effectiveness. We evaluated our techniques on various workloads and we demonstrate that our approach can out-perform the state-of-the-art in query performance prediction."
3,performance prediction,snowball,W3037027022,10.14778/3397230.3397238,Query performance prediction for concurrent queries using graph embedding,2020,Proceedings of the VLDB Endowment,83,closed,,"Query performance prediction is vital to many database tasks (e.g., database monitoring and query scheduling). Existing methods focus on predicting the performance for a single query but cannot effectively predict the performance for concurrent queries, because it is rather hard to capture the correlations between different queries, e.g., lock conflict and buffer sharing. To address this problem, we propose a performance prediction system for concurrent queries using a graph embedding based model. To the best of our knowledge, this is the first graph-embedding-based performance prediction model for concurrent queries. We first propose a graph model to encode query features, where each vertex is a node in the query plan of a query and each edge between two vertices denotes the correlations between them, e.g., sharing the same table/index or competing resources. We then propose a prediction model, in which we use a graph embedding network to encode the graph features and adopt a prediction network to predict query performance using deep learning. Since workloads may dynamically change, we propose a graph update and compaction algorithm to adapt to workload changes. We have conducted extensive experiments on real-world datasets, and experimental results showed that our method outperformed the state-of-the-art approaches."
3,reproducib,snowball,W2950480046,10.1109/icde.2019.00113,Efficient Scalable Multi-attribute Index Selection Using Recursive Strategies,2019,,50,closed,,"An efficient selection of indexes is indispensable for database performance. For large problem instances with hundreds of tables, existing approaches are not suitable: They either exhibit prohibitive runtimes or yield far from optimal index configurations by strongly limiting the set of index candidates or not handling index interaction explicitly. We introduce a novel recursive strategy that does not exclude index candidates in advance and effectively accounts for index interaction. Using large real-world workloads, we demonstrate the applicability of our approach. Further, we evaluate our solution end to end with a commercial database system using a reproducible setup. We show that our solutions are near-optimal for small index selection problems. For larger problems, our strategy outperforms state-of-the-art approaches in both scalability and solution quality."
3,performance prediction,keyword,W2092311917,10.1109/wi-iat.2014.43,A Machine Learning Approach to SPARQL Query Performance Prediction,2014,2014 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT),41,closed,,"In this paper we address the problem of predicting SPARQL query performance. We use machine learning techniques to learn SPARQL query performance from previously executed queries. Traditional approaches for estimating SPARQL query cost are based on statistics about the underlying data. However, in many use-cases involving querying Linked Data, statistics about the underlying data are often missing. Our approach does not require any statistics about the underlying RDF data, which makes it ideal for the Linked Data scenario. We show how to model SPARQL queries as feature vectors, and use k-nearest neighbors regression and Support Vector Machine with the nu-SVR kernel to accurately predict SPARQL query execution time."
3,reproducib,keyword,W2903488876,10.1093/toxsci/kfy286,Oy Vey! A Comment on “Machine Learning of Toxicological Big Data Enables Read-Across Structure Activity Relationships Outperforming Animal Test Reproducibility”,2018,Toxicological Sciences,33,bronze,https://academic.oup.com/toxsci/article-pdf/167/1/3/27331199/kfy286.pdf,"A study by (Luechtefeld et al., 2018) described the development of a suite of in silico models, termed read-across structure activity relationships (RASAR), that have “balanced accuracies in the 80%–95% range across 9 health hazards with no constraints on tested compounds.” This work can be considered groundbreaking for apparently exceeding the most optimistic expectations for quantitative structure-activity relationship (QSAR) modeling accuracy, especially without restrictions on model applicability domains. Predictive in silico models have been facilitating replacement and reduction of animal testing in toxicology (Wold et al., 1985); however, it is also recognized that “these methods are not always reliable and must be assessed on their individual merit for the compound and context in question” (Cronin et al., 2017). It is widely acknowledged that QSAR and other in silico models should be subject to rigorous testing and validation (Dearden et al., 2009; Fourches et al., 2010, 2015; OECD, 2014; Tropsha, 2010). Thus, we were curious to understand what technological advances have enabled the RASAR models to achieve accuracy that, for the first time in the history of QSAR, was “outperforming animal tests reproducibility” (Luechtefeld et al., 2018). With this letter, we aim to understand the genesis of the outstanding result presented by (Luechtefeld et al., 2018). Upon close examination of the methods and conclusions, we believe there is an urgent need to highlight several iss"
3,performance prediction,snowball,W1987461110,10.1109/icdew.2013.6547460,Packing light: Portable workload performance prediction for the cloud,2013,,22,closed,,"We introduce a new learning-based solution for portable database workload performance prediction. The current state of the art addresses performance prediction for individual, static hardware configurations and thus cannot generalize to new platforms without additional training. In this work, we focus on analytical databases that might be deployed on different hardware configurations, possibly offered by various Infrastructureas-a-Service (IaaS) providers in the cloud. Enabling workload performance predictions that can be ported across hardware configurations and IaaS offerings could significantly help cloud users with their service-purchase decisions and cloud providers with their provisioning decisions. Our solution is based on collaborative filtering modeling and prediction. We applied it to lightweight workload fingerprints that model the characteristics and behavior of concurrent query workloads for carefully selected, abstract hardware configurations. Our preliminary results are derived from experiments with TPC-H and TPC-DS benchmarks on the Amazon and Rackspace clouds. They demonstrate that our techniques can predict analytical workload throughput values for diverse hardware platforms with low training overhead and within approximately 30% of the correct figure."
3,performance prediction,snowball,W3165842875,10.14778/3503585.3503600,Database workload characterization with query plan encoders,2021,Proceedings of the VLDB Endowment,20,closed,,"Smart databases are adopting artificial intelligence (AI) technologies to achieve instance optimality , and in the future, databases will come with prepackaged AI models within their core components. The reason is that every database runs on different workloads, demands specific resources, and settings to achieve optimal performance. It prompts the necessity to understand workloads running in the system along with their features comprehensively, which we dub as workload characterization. To address this workload characterization problem, we propose our query plan encoders that learn essential features and their correlations from query plans. Our pretrained encoders captures the structural and the computational performance of queries independently. We show that our pretrained encoders are adaptable to workloads that expedites the transfer learning process. We performed independent assessments of structural encoder and performance encoders with multiple downstream tasks. For the overall evaluation of our query plan encoders, we architect two downstream tasks (i) query latency prediction and (ii) query classification. These tasks show the importance of feature-based workload characterization. We also performed extensive experiments on individual encoders to verify the effectiveness of representation learning, and domain adaptability."
3,performance prediction,snowball,W2121514076,10.1109/tpds.2010.92,Online Capacity Identification of Multitier Websites Using Hardware Performance Counters,2010,IEEE Transactions on Parallel and Distributed Systems,20,closed,,"Understanding server capacity is crucial to system capacity planning, configuration, and QoS-aware resource management. Conventional stress testing approaches measure server capacity offline in terms of application-level performance metrics like response time and throughput. They are limited in measurement accuracy and timeliness. In a multitier website, resource bottleneck often shifts between tiers as client access pattern changes. This makes the problem of online capacity measurement even more challenge. This paper presents an online measurement approach based on low-level hardware performance metrics such as instructions execution rate and cache access behavior. Such metrics together define a system internal running state. The measurement approach uses machine learning techniques to infer application-level performance at each tier from a set of selected hardware performance counters. A coordinated predictor is induced over individual tier-wide models to make global system performance prediction and identify the bottleneck when the system becomes overloaded. Experiments were conducted on a two-tier Tomcat/MySQL-configured website using TPC-W benchmarks. Experimental results demonstrated that this approach was able to achieve an overload prediction accuracy of higher than 90 percent for a priori known input traffic mix and over 85 percent accuracy even for traffic causing frequent bottleneck shifting. It costs less than 0.5 percent runtime overhead for data collection and n"
3,performance prediction,keyword,W3048021565,10.1145/3407947.3407968,Runtime prediction of high-performance computing jobs based on ensemble learning,2020,,16,closed,,"In high-performance computing job scheduling systems, to accurate predict the job runtime can effectively utilize the idle resource fragments generated during cluster computing as well as backfill them for improving scheduling performance. Because the runtime of high-performance computing jobs are affected by many factors thus are complicated non-linear problem. The ensemble machine learning method is used to predict the runtime of jobs in cluster computing. By comparing the prediction results of different models on the job log data sets from three real high-performance computing systems, it is found that the LightGBM algorithm has higher prediction accuracy, faster computation speed, shorter training time of the model and achieve better overall performance."
3,reproducib,keyword,W2016034479,10.1145/2806777.2806846,Evaluating the impact of fine-scale burstiness on cloud elasticity,2015,,14,closed,,"Elasticity is the defining feature of cloud computing. Performance analysts and adaptive system designers rely on representative benchmarks for evaluating elasticity for cloud applications under realistic reproducible workloads. A key feature of web workloads is burstiness or high variability at fine timescales. In this paper, we explore the innate interaction between fine-scale burstiness and elasticity and quantify the impact from the cloud consumer's perspective. We propose a novel methodology to model workloads with fine-scale burstiness so that they can resemble the empirical stylized facts of the arrival process. Through an experimental case study, we extract insights about the implications of fine-scale burstiness for elasticity penalty and adaptive resource scaling. Our findings demonstrate the detrimental effect of fine-scale burstiness on the elasticity of cloud applications."
3,performance prediction,snowball,W3011096293,10.1109/pdcat46702.2019.00053,Machine Learning Based Performance Analysis and Prediction of Jobs on a HPC Cluster,2019,,14,closed,,"There are a lot of middle-class or small-class high-performance computing clusters at universities and research institutes, etc. Large volumes of job logs have been accumulated after many years of operation. In this paper, on the basis of accumulated job logs on a high-performance computing cluster, we examine and analyze the job logs. Then, we study machine learning based performance analysis and prediction methods for parallel jobs. Various machine learning methods such as multivariate linear fitting, artificial neural network are used to build performance prediction models. We compare the errors of each model, and select the optimal prediction model for different users. The experimental results show that we can obtain reasonable prediction accuracy using the selected machine learning algorithms."
3,container;payment,snowball,W2782694310,10.1109/icsai.2017.8248375,Performance comparison between hypervisor- and container-based virtualizations for cloud users,2017,,14,closed,,"To outsourcing their services to public clouds, cloud users should understand the performance of various virtualization technologies so that they can choose suitable cloud on which to deploy their services, as various cloud providers use different virtualization technologies. In this paper, we compare the performance between a representative hypervisor-based virtualization, Xen, and a very popular container-based virtualization, Docker. We use extensive micro-benchmarks to compare virtualization overheads of various components on a host system between these two virtualization technologies, and two macro-benchmarks, HPL, a case of high performance computing applications, and YCSB, a case of online transaction processing applications, to study on virtualization impact on real-world applications. We found that although the virtualization overheads of Xen are much higher than that of Docker on latencies of host systems and both of virtualization solutions have few impacts on bandwidths overall, Xen has comparable, more, and less overheads than Docker for HPL, YCSB in term of transaction latency under certain loads, and YCSB in term of transaction throughput, respectively."
3,cgroup,snowball,W3197632571,10.1002/cpe.6600,Smart resource allocation of concurrent execution of parallel applications,2021,Concurrency and Computation Practice and Experience,12,closed,,"Abstract Thread‐level parallelism (TLP) has been widely exploited to optimize computational resource usage in high‐performance systems. However, as many applications do not scale as the number of threads increase, resources will be wasted when the application executes with the maximum possible number of threads (i.e., the default execution) rather than fewer threads (thread throttling) that may use the resources more efficiently. Hence, instead of executing only one application with as many threads as possible, one can run more applications simultaneously by applying thread throttling to each one. The primary outcome of this strategy is a significant reduction in the total execution time and energy consumption when the system needs to execute a list of applications. Given that, we propose a smart resource allocation (SRA) for concurrent parallel application execution. It automatically finds the ideal degree of TLP for each application and guides the simultaneous parallel applications execution. When running 25 well‐known benchmarks on three multicore systems and comparing SRA to state‐of‐the‐art strategies (e.g., Batch, Equal policy, and Scalability), SRA improves the EDP by 87.4% over the Batch strategy; 75.5% over the Equal policy; and 38.8% over the scalability strategy."
3,performance prediction,snowball,W4413411955,10.1145/3721145.3725757,ORA: Job Runtime Prediction for High-Performance Computing Platforms Using the Online Retrieval-Augmented Language Model,2025,,11,gold,https://dl.acm.org/doi/pdf/10.1145/3721145.3725757,"Accurate job runtime prediction is critical for efficient scheduling in high-performance computing (HPC) platforms.For instance, precise predictions enable techniques such as backfilling, where small jobs are executed ahead of schedule to maximize resource utilization and enhance computational efficiency.However, existing runtime prediction methods primarily rely on job metadata (e.g., submission time, requested runtime, and required memory) while ignoring the content of job scripts, which limits their accuracy.To address this issue, we propose an Online Retrieval-Augmented Language Model (ORA) for job runtime prediction.ORA encodes both metadata and script information from historical jobs into feature vectors to form a database, enabling similarity-based retrieval to assist in predicting the runtime of new jobs.To address distribution shifts, ORA incrementally updates the database without requiring model retraining.Additionally, personalized retrieval mechanisms are employed to mitigate the * Co-corresponding author."
3,performance prediction,keyword,W3203076171,10.1145/3472456.3473521,PREP: Predicting Job Runtime with Job Running Path on Supercomputers,2021,,10,closed,,"Supercomputers serve a lot of parallel jobs by scheduling jobs and allocating computing resources. One popular scheduling strategy is First Come First Serve (FCFS). However, there are always some idle resources not being effectively utilized, since they are not enough and are reserved for the head job in the waiting queue. To improve resource utilization, a common solution is to use backfilling, which allocates the reserved computing resources to a small, short job selected from the queue, on the premise of not delaying the original head job. Unfortunately, the estimated job runtime provided by users is often overestimated. Previous studies extract features from historical job logs and predict runtime based on machine learning. However, traditional features (e.g. CPU, user, submitting time, etc.) are insufficient to describe the characteristics of jobs. In this paper, we propose a novel runtime prediction framework called PREP. It explores a new feature named job running path, which encodes important implications about the job’s characteristics, such as the project it belongs to, data sets and parameters it uses, etc. As there is a strong correlation between job runtime and its running path. PREP groups jobs into separate clusters according to their running paths and trains a runtime prediction model for each job cluster. Final results demonstrate that adding the new feature can achieve high prediction accuracy of 88% and has a better prediction effect than other methods, suc"
3,performance prediction,keyword,W4403114374,10.1016/j.engappai.2024.109383,A unified active learning framework for annotating graph data for regression tasks,2024,Engineering Applications of Artificial Intelligence,7,hybrid,https://doi.org/10.1016/j.engappai.2024.109383,"In many domains, effectively applying machine learning models requires a large number of annotations and labelled data, which might not be available in advance. Acquiring annotations often requires significant time, effort, and computational resources, making it challenging. Active learning strategies are pivotal in addressing these challenges, particularly for diverse data types such as graphs. Although active learning has been extensively explored for node-level classification, its application to graph-level learning, especially for regression tasks, is not well-explored. We develop a unified active learning framework specializing in graph annotating and graph-level learning for regression tasks on both standard and expanded graphs, which are more detailed representations. We begin with graph collection and construction. Then, we construct various graph embeddings (unsupervised and supervised) into a latent space. Given such an embedding, the framework becomes task agnostic and active learning can be performed using any regression method and query strategy suited for regression. Within this framework, we investigate the impact of using different levels of information for active and passive learning, e.g., partially available labels and unlabelled test data. Despite our framework being domain agnostic, we validate it on a real-world application of software performance prediction, where the execution time of the source code is predicted. Thus, the graph is constructed as an i"
3,performance prediction,snowball,W4280637960,10.1109/wcnc51071.2022.9771942,Machine Learning based Performance Prediction for Cloud-native 5G Mobile Core Network,2022,2022 IEEE Wireless Communications and Networking Conference (WCNC),6,closed,,"Network functions that apply advanced cloud-native technologies are called Cloud-native Network Functions (CNFs). CNFs reap many of the benefits of a microservices architecture. However, CNFs are expected to be used, for example, as a platform for MEC and will require more distributed deployment in various cloud environments from the edge to the private or public cloud than ordinary web services. As a result, the number of combinations of software and hardware resources will explode, making it difficult to design optimal hardware resources in accordance with the requirements of the various network services. To overcome this challenge, we propose an automated CNF provisioning engine that optimizes the hardware resources allocated to CNFs from the viewpoint of performance assurance and minimizing equipment costs even in various clouds. In this paper, we used machine learning for the cloud-native 5G mobile core to build a performance prediction model for both control plane and user plane functions under various hardware conditions on the basis of the performance characteristics data obtained from our test platform. From evaluating the prediction accuracy of the constructed models, we clarify that the models can predict with high accuracy even using features that can be easily fed back to the hardware resource design."
3,performance prediction,keyword,W4367189393,10.48550/arxiv.2304.13032,A Unified Active Learning Framework for Annotating Graph Data with Application to Software Source Code Performance Prediction,2023,arXiv (Cornell University),5,green,https://arxiv.org/pdf/2304.13032,"Most machine learning and data analytics applications, including performance engineering in software systems, require a large number of annotations and labelled data, which might not be available in advance. Acquiring annotations often requires significant time, effort, and computational resources, making it challenging. We develop a unified active learning framework specializing in software performance prediction to address this task. We begin by parsing the source code to an Abstract Syntax Tree (AST) and augmenting it with data and control flow edges. Then, we convert the tree representation of the source code to a Flow Augmented-AST graph (FA-AST) representation. Based on the graph representation, we construct various graph embeddings (unsupervised and supervised) into a latent space. Given such an embedding, the framework becomes task agnostic since active learning can be performed using any regression method and query strategy suited for regression. Within this framework, we investigate the impact of using different levels of information for active and passive learning, e.g., partially available labels and unlabeled test data. Our approach aims to improve the investment in AI models for different software performance predictions (execution time) based on the structure of the source code. Our real-world experiments reveal that respectable performance can be achieved by querying labels for only a small subset of all the data."
3,performance prediction,snowball,W4411403367,10.1145/3725364,T3: Accurate and Fast Performance Prediction for Relational Database Systems With Compiled Decision Trees,2025,Proceedings of the ACM on Management of Data,4,hybrid,https://dl.acm.org/doi/pdf/10.1145/3725364,"Query performance prediction is used for scheduling, resource scaling, tenant placement, and various other use-cases. Here, the main goal is to estimate the execution time of a query without running it. To be effective, predictors need to be both accurate and fast. In contrast, neural networks that were used in recent work deliver very accurate predictions but suffer from high latency. In this work, we propose the Tuple Time Tree (T3), a new model that is both accurate and fast. It is orders of magnitude faster than comparable methods and has competitive accuracy to state-of-the-art approaches. Additionally, T3 works for new database instances without re-training because it generalizes across database instances. We achieve T3's speed by relying on a low-latency decision tree model that is compiled to native machine code. We maintain high accuracy with two novel techniques: pipeline-based query plan representation and tuple-centric prediction targets. In our pipeline-based query plan representation, T3 decomposes query plans into pipelines. Then, T3 predicts the execution time of each pipeline individually, instead of the whole query in one step. With tuple-centric prediction targets, T3 predicts the expected time it takes to push a single tuple through a pipeline. It then multiplies this predicted value by the input cardinality of the pipeline to estimate its execution time. As a result, T3 achieves state-of-the-art accuracy with a low-latency decision tree model."
3,performance prediction,snowball,W4388855529,10.1109/cluster52292.2023.00009,PredictDDL: Reusable Workload Performance Prediction for Distributed Deep Learning,2023,,4,closed,,"Accurately predicting the training time of deep learning (DL) workloads is critical for optimizing the utilization of data centers and allocating the required cluster resources for completing critical model training tasks before a deadline. The state-of-the-art prediction models, e.g., Ernest and Cherrypick, treat DL workloads as black boxes, and require running the given DL job on a fraction of the dataset. Moreover, they require retraining their prediction models every time a change occurs in the given DL workload. This significantly limits the reusability of prediction models across DL workloads with different deep neural network (DNN) architectures. In this paper, we address this challenge and propose a novel approach where the prediction model is trained only once for a particular dataset type, e.g., ImageNet, thus completely avoiding tedious and costly retraining tasks for predicting the training time of new DL workloads. Our proposed approach, called PredictDDL, provides an end-to-end system for predicting the training time of DL models in distributed settings. PredictDDL leverages Graph HyperNetworks, a class of neural networks that takes computational graphs as input and produces vector representations of their DNNs. PredictDDL is the first prediction system that eliminates the need of retraining a performance prediction model for each new DL workload and maximizes the reuse of the prediction model by requiring running a DL workload only once for training the predict"
